  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.013456'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.021014'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.020614'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.013384'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.014473'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.027451'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.015456'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.032710'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.017889'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.018518'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.020644'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.015768'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.019715'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.038432'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.015173'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Completed: pds.metadata'
  message: 'startup-script: 2026-04-01 18:59:29 || SUMMARY | Elapsed time = 0:00:00.020845'
